channel_name,description,publishedAt,total_views,subscribers,total_videos,playlists
MoreSidemen,Welcome to the Official Sidemen 2nd Channel which is also officially the greatest channel on YouTube… ENJOY!,2018-02-01T21:48:49Z,3171290344,7550000,794,UUh5mLn90vUaB1PbRRx_AiaA
Sidemen,Welcome to the official Sidemen channel. The home of #SidemenSundays - We post new Sidemen videos every single Sunday!,2015-06-14T09:20:50Z,4816070441,17800000,290,UUDogdKl7t7NHzQ95aEwkdMw
